"","date_time","rain_rate","concentration","mass_mean_diameter","mean_diameter","std_dev"
"1",2015-10-09 21:37:30,0.876,62.0683361807182,1.73774015846171,0.792894625496493,5.93566251789155
"2",2015-10-09 21:38:00,0.393,136.870233612388,1.33496459752324,0.503088731910195,12.1029696136156
"3",2015-10-09 21:38:30,0.979,133.90514075885,1.90172339884743,0.53761901391405,12.0579052538827
"4",2015-10-09 21:39:00,1.557,241.4749165793,1.73913247519835,0.582964176776301,20.0467089405261
"5",2015-10-09 21:39:30,0.746,149.213571387361,1.35965009890874,0.642576941258237,10.4586801353881
"6",2015-10-09 21:40:00,1.737,108.261031693062,2.01064736746387,0.818282884175976,7.02537749775748
"7",2015-10-09 21:40:30,1.474,157.219105492673,1.51739947225953,0.779223524822248,10.9143804117213
"8",2015-10-09 21:41:00,4.946,327.691226737917,1.92190820509832,0.814180998258326,19.2897621017114
"9",2015-10-09 21:41:30,3.845,614.276799872313,1.39457128229321,0.654883254783218,44.6805006193051
"10",2015-10-09 21:42:00,5.284,656.489039598885,1.46652356283423,0.744060606067067,42.290937150451
"11",2015-10-09 21:42:30,8.824,958.461413598972,2.03077694851237,0.60464837576987,76.0053927601378
"12",2015-10-09 21:43:00,43.54,2800.08530151543,2.56142635464829,0.612424787794726,241.679270549152
"13",2015-10-09 21:43:30,38.786,3030.26018733463,2.30622105059502,0.595678683825625,262.343413273043
"14",2015-10-09 21:44:00,40.238,2804.78757477237,2.28664489207928,0.642286277744952,224.633848351412
"15",2015-10-09 21:44:30,46.572,1891.22919563797,2.46302357740021,0.758759037705312,135.105471276006
"16",2015-10-09 21:45:00,73.39,4126.44686302463,2.41921221879747,0.685961893609428,327.606810181639
"17",2015-10-09 21:45:30,57.642,4320.2807229821,2.28081999124232,0.664193685359096,325.343756417842
"18",2015-10-09 21:46:00,53.704,4160.07108172634,2.17454557889822,0.645837001790657,329.449820120951
"19",2015-10-09 21:46:30,32.68,2569.38150230165,1.83965219530223,0.706913343983445,180.706421087142
"20",2015-10-09 21:47:00,29.182,2953.13283803498,1.79198844645075,0.665831853816016,221.592307973243
"21",2015-10-09 21:47:30,17.387,2594.62181817773,1.53691143470165,0.634755729961715,195.034443793034
"22",2015-10-09 21:48:00,17.469,2632.84451100899,1.53657860137186,0.633769003848,200.790268121029
"23",2015-10-09 21:48:30,21.419,2264.89729533613,1.66125880550203,0.69526508687448,161.714553932719
"24",2015-10-09 21:49:00,29.137,2435.11259814942,1.87467115915098,0.693203999155021,172.590547872813
"25",2015-10-09 21:49:30,29.062,2674.03244922842,1.84425293180567,0.687576389008208,197.992861333677
"26",2015-10-09 21:50:00,17.287,2259.88400554334,1.50706912623658,0.674885246040392,157.349217619208
"27",2015-10-09 21:50:30,12.801,2130.37074475778,1.35419920052593,0.65617484179932,153.199910899899
"28",2015-10-09 21:51:00,11.187,1883.8017120393,1.31483679268683,0.670695825298235,129.694476834508
"29",2015-10-09 21:51:30,10.235,2011.36278516252,1.30203035469916,0.641681439840578,145.540168566286
"30",2015-10-09 21:52:00,5.443,1656.46794910762,1.10686896123459,0.605260630000769,125.415834883127
"31",2015-10-09 21:52:30,6.423,1772.2907110659,1.11829357635593,0.616719261835765,132.336512796242
"32",2015-10-09 21:53:00,8.052,1638.28423968513,1.3547279166013,0.612816434977354,126.641264856022
"33",2015-10-09 21:53:30,11.676,1533.40127555691,1.4985596750297,0.680699923225259,111.631963649445
"34",2015-10-09 21:54:00,12.694,1912.64273324245,1.52891530883812,0.619224659271616,147.035771415792
"35",2015-10-09 21:54:30,10.767,1812.125761205,1.52928465480971,0.608741848063765,141.450010675504
"36",2015-10-09 21:55:00,12.521,1550.58965265067,1.56974544994367,0.68120035507911,106.271415122715
"37",2015-10-09 21:55:30,18.256,1501.22074844382,1.79544087858169,0.742784407686623,98.334511123208
"38",2015-10-09 21:56:00,26.336,2080.6573484914,1.89296464422092,0.697589743242551,149.272806748925
"39",2015-10-09 21:56:30,68.224,4963.94747346026,2.36428402634257,0.654984475699234,392.861649161587
"40",2015-10-09 21:57:00,90.993,4990.87056984091,2.3781357528781,0.739767992497102,343.073997981371
"41",2015-10-09 21:57:30,101.377,4690.39309229823,2.48529308325221,0.780894957436736,299.222224870572
"42",2015-10-09 21:58:00,68.51,5505.19144289274,1.96893554550693,0.722085702170723,363.797239084878
"43",2015-10-09 21:58:30,55.015,5124.28552499182,1.90864808758988,0.716531553183086,350.080407896419
"44",2015-10-09 21:59:00,51.785,4411.53491495418,1.93521460788363,0.725000123738885,298.073956252658
"45",2015-10-09 21:59:30,52.514,3856.3252910143,2.2334734123565,0.699977728096866,275.228592666283
"46",2015-10-09 22:00:00,56.006,3922.09651051865,2.23576688128603,0.705163564832587,272.802856863422
"47",2015-10-09 22:00:30,73.029,3817.34441458746,2.85135817415526,0.706415428388731,275.239597128308
"48",2015-10-09 22:01:00,39.413,2786.11937987055,2.33689096626802,0.69280156076674,190.381850223473
"49",2015-10-09 22:01:30,27.75,2351.42227763054,1.93503816614432,0.722880926517367,156.684225715658
"50",2015-10-09 22:02:00,26.957,2111.37404547747,1.85428757672336,0.754397151820273,143.063585075998
"51",2015-10-09 22:02:30,36.123,2480.86652589186,2.03697905270494,0.730907366843088,173.304536793747
"52",2015-10-09 22:03:00,41.096,2715.57486898509,2.22214608574399,0.708583181778946,192.542397390395
"53",2015-10-09 22:03:30,39.991,3123.62656758848,1.89561543988526,0.712747173847228,222.302673456026
"54",2015-10-09 22:04:00,50.062,3418.27932715745,2.06117570748727,0.73128820137341,231.419097598641
